"text","diggCount","replyCommentTotal","createTimeISO","uniqueId","videoWebUrl","uid","cid"
"It just worked for me. I had to change the number I was using😅","0",,"2023-10-22T21:06:52.000Z","butterflyilove_","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7030541307970257925","7292892228569268997"
"Alright","0",,"2023-10-23T08:25:34.000Z","adomah_0","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6916554583360193541","7293067164583297797"
"It is! Click on our profile and click link in bio! Or search on the App Store “Moment: preserve”","0",,"2023-10-22T20:53:57.000Z","getmoment","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7207317515538924590","7292888885074920235"
"Enter your email on the form on our website (momentapp.info) to stay updated and follow our page for android version launch!","0",,"2023-10-22T23:27:09.000Z","getmoment","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7207317515538924590","7292928346753106731"
"Click on our profile and click link in bio! Or search on the App Store “Moment: preserve”","0",,"2023-10-22T20:54:32.000Z","getmoment","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7207317515538924590","7292888992521421610"
"Cries in Portugal","1","1","2023-10-22T15:47:19.000Z","inezitalevy","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7153913807843099654","7292809896800666400"
"SLAYY u tell em","0","0","2023-10-22T15:45:20.000Z","ishxaa","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6724453039522448389","7292809412463526661"
"play store?","0","1","2023-10-22T15:29:51.000Z","user1281822746","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6547427983437660169","7292805403737375493"
"I can’t find it 🥺","0","1","2023-10-22T15:20:38.000Z","bela.dm","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6826103301067867142","7292803052753568518"
"Girlll, its the bestt, good luck","0","0","2023-10-22T15:14:42.000Z","niinm4","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","205799398792986624","7292801521161421570"
"when wiil it be in android?","0","1","2023-10-22T15:13:10.000Z","blckthrn7","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6948560887154639877","7292801099664392965"
"So basically a cloud storage for photos ? or can we see other peoples photos ?","0","0","2023-10-22T15:09:28.000Z","snklp_edits","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7205573940725695490","7292800175411299079"
"Make it available on app store","0","1","2023-10-22T15:09:09.000Z","mcnugge3333ts","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6836513991167575041","7292800063788843782"
"will it be available on android(samsung)?","0","0","2023-10-22T15:05:51.000Z","kimmirahe877","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6843397452469961733","7292799218992300806"
"I need it in latinoamericaa","0","1","2023-10-22T15:02:52.000Z","_franarayap","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6958591136139494406","7292798445990626053"
"is it available on google play?
if not then add it.","0","2","2023-10-22T15:00:26.000Z","kaktusinfamous","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6828187077811094534","7292797808201286405"
"can you add it to the play store? :(","0","1","2023-10-22T14:53:48.000Z","lyraafalls","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6920055039050892294","7292796112359654150"
"i cant download it in argentina 🇦🇷🥹🥹🥹","0","2","2023-10-22T14:53:18.000Z","candeooc","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6647068713390522373","7292796001864254214"
"It’s not available here :( 🇩🇴","0","1","2023-10-22T14:47:47.000Z","onnagonz","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7263988096378618886","7292794591806227206"
"we neen it in Android plsss","0","0","2023-10-22T14:46:17.000Z","dlbuelvas","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6904406584677336069","7292794179779576582"
"exactly what I need🥺","1","0","2023-10-22T14:46:02.000Z","_th3__thmi__","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6584772179363233797","7292794121454076690"
"This is amazing!! I downloaded the app","1","0","2023-10-22T14:42:09.000Z","nadiaanataliaa","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6818308901265900549","7292793074399937323"
"I hope you succeed 🤩✨🥹","1","0","2023-10-22T14:39:16.000Z","smexs00","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","6812676567631037445","7292792364384273158"
"I love","0","0","2023-10-22T14:13:13.000Z","ms_muturi","https://www.tiktok.com/@ahmadnabihah/video/7291810400373394731","7081267921486349317","7292785656975000325"
